smolarz	smoła
snycerz	snycerstwo
snycerz	snycerka
saneczkarz	saneczki
stiukarz	stiuk
szczotkarz	szczotka
szkutnik	szkutnictwo
sztukator	sztukateria
średniodystansowiec	średni dystans
tapicer	tapicerka
tapicer	tapicerstwo
sztangista	sztanga
trójskoczek	trójskok
tyczkarz	tyczka
usługowiec	usługi
wędliniarz	wędlina
masarz	masarstwo
wikliniarz	wiklina
wikliniarz	wikliniarstwo
plecionkarz	plecionka
plecionkarz	plecionkarstwo
witrażysta	witraż
zjazdowiec	zjazd
parodysta	parodia
chromatograf	chromatografia
deszyfrator	deszyfracja
koder	kod
szyfrator	szyfr
kompilator	kompilacja
kompresor	kompresja
kompresor	kompresja
korektor	korekta
dewot	dewocja
bigot	bigoteria
elektor	elekcja
kontralt	kontralt
mezzosopran	mezzosopran
bursztyniarz	bursztyn
bursztyniarz	bursztyniarstwo
bursztynnik	bursztynnictwo
złotnik	złoto
dewizowiec	dewizy
obszarnik	obszar
akuszerka	akuszerstwo
dorożkarz	dorożka
komiwojażer	komiwojażerka
masażysta	masaż
archidiakon	archidiakonat
egzarcha	egzarchat
egzarcha	egzarchat
egzarcha	egzarchat
jałmużnik	jałmużna
jałmużnik	jałmużna
komtur	komturia
prowincjał	prowincja
regimentarz	regiment
konkwistador	konkwista
stenograf	stenografia
lennik	lenno
lennik	lenno
hołdownik	hołd
feudał	feudum
bazgracz	bazgrot
bazgrała	bazgrot
kopista	kopia
dżudoka	dżudo
judoka	judo
judok	judo
dżudok	dżudo
karateka	karate
kick-boxer	kick-boxing
florecista	floret
szablista	szabla
szpadzista	szpada
pingpongista	ping-pong
materialista	materializm
ciułacz	ciułactwo
konsumpcjonista	konsumpcjonizm
działkowicz	działka
kursant	kurs
kursant	kurs
kursowicz	kurs
kursowicz	kurs
lustrator	lustracja
lustrator	lustracja
lustrator	lustracja
migrant	migracja
protokolant	protokół
protokólant	protokół
przedszkolanka	przedszkole
rekonwalescent	rekonwalescencja
rentier	renta
rugbista	rugby
szczypiornista	szczypiorniak
piłkarz ręczny	piłka ręczna
interpretator	interpretacja
singlista	singiel
singlista	singel
synglista	syngiel
rutyniarz	rutyna
makaroniarz	makaron
archont	archontat
hegemon	hegemonia
doker	dok
portowiec	port
domokrążca	domokrąstwo
gałganiarz	gałgan
łachmaniarz	łachman
szmaciarz	szmata
straganiarz	stragan
tandeciarz	tandeta
tandeciarz	tandeta
szmirus	szmira
zieleniarz	zieleniak
zieleniarz	zielenina
kataryniarz	katarynka
lodziarz	lody
szynkarz	szynk
kafejkarz	kafejka
kantyniarz	kantyna
knajpiarz	knajpa
bojowiec	bój
jakobin	jakobinizm
empiryk	empiria
technik	technika
empirysta	empiryzm
absolutysta	absolutyzm
relatywista	relatywizm
arystotelik	arystotelizm
atomista	atomizm
determinista	determinizm
absolutysta	absolutyzm
legitymista	legitymizm
konstytucjonalista	konstytucja
fatalista	fatalizm
indeterminista	indeterminizm
dualista	dualizm
eklektyk	eklektyzm
eklektyk	eklektyzm
eklektyk	eklektyzm
empiriokrytyk	empiriokrytycyzm
machista	machizm
stoik	stoicyzm
epistemolog	epistemologia
finalista	finalizm
historiozof	historiozofia
humanista	humanizm
pragmatyk	pragmatyzm
utylitarysta	utylitaryzm
utylitarysta	utylitaryzm
merkantylista	merkantylizm
materialista	materializm
idealista	idealizm
spirytualista	spirytualizm
indywidualista	indywidualizm
katastrofista	katastrofizm
konceptualista	konceptualizm
śmierć	śmierć
chałturnik	chałtura
chałturowiec	chałtura
altruista	altruizm
konfucjanista	konfucjanizm
intelektualista	intelektualizm
klerk	klerkizm
eskapista	eskapizm
rezoner	rezonerstwo
formalista	formalizm
purysta	puryzm
formalista	formalizm
doktor habilitowany	habilitacja
jansenista	jansenizm
bolszewik	bolszewizm
leninista	leninizm
leninowiec	leninizm
maoista	maoizm
