szmaciarski	szmaciarz
mułowaty	muł
szmaciarski	szmata
piankowaty	pianka
wolterowski	Wolter
płetwowaty	płetwa
granitowy	granit
kamforowy	kamfora
błyskawicowy	błyskawica
piorunowy	piorun
gorczycowy	gorczyca
jedwabny	jedwab
gruszkowy	gruszka
anyżowy	anyż
jabłoniowy	jabłoń
taninowy	tanina
rodzynkowy	rodzynek
jedwabisty	jedwab
leśny	las
jodłowy	jodła
kamforowy	kamfora
eksplozyjny	eksplozja
eksplozyjny	eksplozja
kiełbasiany	kiełbasa
jajeczny	jajko
jajeczny	jajko
rybny	ryba
rybny	ryba
śledziowaty	śledź
śledziowaty	śledź
chrzanowy	chrzan
chrzanowy	chrzan
kminkowy	kminek
musztardowy	musztarda
pieprzowy	pieprz
piołunowy	piołun
maskowaty	maska
recytacyjny	recytacja
cewkowaty	cewka
kandelabrowy	kandelabr
kłaczkowaty	kłaczek
wachlarzykowaty	wachlarzyk
flądrowaty	flądra
flakowaty	flak
renegacki	renegat
romboedryczny	romboedr
słupkowaty	słupek
tabliczkowaty	tabliczka
szopowaty	szop
szopowaty	szopa
sferyczny	sfera
szopowaty	szopa
dłutowaty	dłuto
groszkowaty	groszek
groszkowaty	groszek
satynowy	satyna
ziołowy	zioło
ziołowy	zioło
rumiankowy	rumianek
wołowy	wół
trzciniasty	trzcina
turzycowaty	turzyca
kartonowy	karton
morwowy	morwa
owocowy	owoc
morelowy	morela
wiśniowy	wiśnia
jaśminowy	jaśmin
jaśminowy	jaśmin
lawendowy	lawenda
kolisty	koło
pochwiasty	pochwa
szerokoeliptyczny	elipsa
koralikowy	koralik
fauni	faun
kapłoni	kapłon
byczy	byk
rozetkowy	rozeta
funkcjonalistyczny	funkcjonalizm
łodyżkowy	łodyżka
mięsopodobny	mięso
błonkowaty	błonka
drzewkowaty	drzewko
guzikowaty	guzik
szpilkowaty	szpilka
szpilkowaty	szpilka
trąbkowaty	trąbka
flejtuchowaty	flejtuch
frędzlowaty	frędzel
ferroelektryczny	ferroelektryk
dłoniasty	dłoń
iłowaty	ił
szopowy	szopa
piłowaty	piła
świrowaty	świr
świrowaty	świr
morowy	mora
porcelanowy	porcelana
słupiasty	słup
dzwonkowy	dzwonek
karowy	karo
sercowy	serce
sałatowy	sałata
słomiany	słoma
ulotkowy	ulotka
śledziowy	Śledziu
taftowy	tafta
tweedowy	tweed
tynkowy	tynk
kubełkowy	kubełek
funkcjonalistyczny	funkcjonalizm
grzybiasty	grzyb
małpiasty	małpa
szpilkowy	szpilka
jaspisowy	jaspis
ryjowaty	ryj
puchowy	puch
cukrowy	cukier
mączny	mąka
zwierzęcy	zwierzę
warzywny	warzywo
jałowcowy	jałowiec
pierwiosnkowy	pierwiosnek
cudacki	cudak
jarzynowy	jarzyna
miętowy	mięta
