manilowy	manila
maniokowy	maniok
zielony	zieleń
łasiczy	łasica
melaminowy	melamina
keratynowy	keratyna
agarowy	agar
mikowy	mika
włókienny	włókno
dziegciowy	dziegieć
siarczynowy	siarczyn
amonitowy	amonit
fiszbinowy	fiszbin
kaparowy	kapar
laserunkowy	laserunek
korniszonowy	korniszon
okrzemkowy	okrzemka
węgorzowy	węgorz
okoniowy	okoń
gazobetonowy	gazobeton
małosolny	małosolny
kratkowany	kratka
kratkowy	kratka
łasicowy	łasica
tombakowy	tombak
glaukonitowy	glaukonit
kurdybanowy	kurdyban
kordybanowy	kordyban
pigmentowy	pigment
pigmentowy	pigment
pulpowy	pulpa
szagrynowy	szagryn
ciastkowy	ciastko
krynoidowy	krynoid
ostrygowy	ostryga
małżowy	małż
balsamiczny	ocet balsamiczny
rzepakowy	rzepak
siarkowy	siarka
słonecznikowy	słonecznik
nektarowy	nektar
gwajakowy	gwajak
gwajakowy	gwajak
kółkowy	kółko
spadziowy	spadź
cukrzany	cukier
tymolowy	tymol
chmielowy	chmiel
kadzidlany	kadzidło
kadzidlany	kadzidłowiec
piżmowy	piżmo
karotenowy	karoten
styrenowy	styren
waflowy	wafel
wielbłądzi	wielbłąd
sagowy	sago
izoprenowy	izopren
brusznicowy	brusznica
łozinowy	łozina
łozowy	łoza
drzewiany	drewno
marglowy	margiel
litowy	lit
szynkowy	szynka
szynkowy	szynka
butylowy	butyl
melasowy	melasa
ślazowy	ślaz
macowy	maca
tarninowy	tarnina
fosfonowy	kwas fosfonowy
serpentynitowy	serpentynit
edredonowy	edredon
sajetowy	sajeta
aspirynowy	aspiryna
hibiskusowy	hibiskus
galasowy	galas
galasowy	galas
kurczęcy	kurczę
wigoniowy	wigonia
wigoniowy	wigoń
wigoniowy	wigoń
wigoniowy	wigonia
plecionkowy	plecionka
stearynowy	stearyna
strunobetonowy	strunobeton
taflowy	tafla
miedzioniklowy	miedzionikiel
aeralowy	aeral
siluminowy	silumin
alpaksowy	alpaks
aludurowy	aludur
alumelowy	alumel
bilonowy	bilon
brązalowy	brązal
chromonikielinowy	chromonikielina
nichromowy	nichrom
cuniferowy	cunifer
duralowy	dural
elektronowy	elektron
fosfobrązowy	fosfobrąz
fosforobrązowy	fosforobrąz
galinstanowy	galinstan
lapisowy	lapis
konstantanowy	konstantan
magnalowy	magnal
magnoksowy	magnox
manganinowy	manganin
melchiorowy	melchior
monelowy	monel
mumetalowy	mumetal
lapisowy	lapis-lazuli
niekielinowy	nikielina
nitinolowy	nitinol
permalojowy	permaloj
perminwarowy	perminwar
pewterowy	pewter
stellitowy	stellit
terfenolowy	terfenol-D
znalowy	znal
alnicowy	alnico
alnikowy	alniko
alsiferowy	alsifer
inwarowy	inwar
kantalowy	kantal
kowarowy	kowar
żelazoniklowy	żelazonikiel
adwokatowy	adwokat
ajerkoniakowy	ajerkoniak
strzykawkowy	strzykawka
gałgankowy	gałganek
krwawy	krew
koniczynowy	koniczyna
koniczynowy	koniczyna
macierzankowy	macierzanka
propolisowy	propolis
arakowy	arak
żywokostowy	żywokost
kazeinowy	kazeina
austenityczny	austenit
borsukowy	borsuk
gołębiowy	gołąb
geraniowy	pelargonia wonna
sumowy	sum
sumowy	sum
flądrowy	flądra
flądrowy	flądra
andezytowy	andezyt
paletowy	paleta
balsamowy	balsam
limonowy	limona
limetkowy	limetka
bułczany	bułka
rzemykowy	rzemyk
marmoladowy	marmolada
acetonowy	aceton
kopalowy	kopal
derowy	dera
prunelowy	prunela
kolczy	kółko
lubczykowy	lubczyk
etylenowy	etylen
wanilinowy	wanilina
rdestowy	rdest
makrelowy	makrela
krabowy	krab
hydrożelowy	hydrożel
hydrożelowy	hydrożel
konfiturowy	konfitura
łubowy	łub
łubiany	łub
podgardlany	podgardle
asfodelowy	asfodel
fibrowy	fibra
cegiełkowy	cegiełka
melonowy	melon
ryolitowy	ryolit
riolitowy	riolit
kurczakowy	kurczak
katgutowy	katgut
koguci	kogut
brukwiany	brukiew
brukwiowy	brukiew
tujowy	tuja
żywotnikowy	żywotnik
jadeitowy	jadeit
otrębowy	otręby
szychowy	szych
kuczbajowy	kuczbaj
kuczbajowy	kuczbaja
progesteronowy	progesteron
testosteronowy	testosteron
papowy	papa
membranowy	membrana
gazetowy	gazeta
rautowy	raut
sapropelowy	sapropel
żeńszeniowy	żeń-szeń
jabłczany	jabłko
chlorosrebrowy	chlorek srebra
skajowy	skaj
tufowy	tuf
flauszowy	flausz
gutaperkowy	gutaperka
lipoproteinowy	lipoproteina
całostalowy	stal
formaldehydowy	formaldehyd
parówkowy	parówka
gałganiany	gałgan
terowy	ter
narcyzowy	narcyz
muskatowy	muskat
rafiowy	rafia
aldehydowy	aldehyd
kartonikowy	kartonik
estragonowy	estragon
jaczy	jak
mastyksowy	mastyks
magnezytowy	magnezyt
magnezytowy	magnezyt
szyldkretowy	szyldkret
stylonowy	stylon
stylonowy	stylon
szczypiorkowy	szczypiorek
cynfoliowy	cynfolia
magnetytowy	magnetyt
cholinowy	cholina
chromowy	chrom
mleczanowy	mleczan
elanowy	elana
mannowy	manna
kłodowy	kłoda
serdelowy	serdela
kaolinowy	kaolin
stokrotkowy	stokrotka
choinowy	choina
kablobetonowy	kablobeton
ligustrowy	ligustr
podrobowy	podroby
zeolitowy	zeolit
chininowy	chinina
sezamkowy	sezamek
sezamkowy	sezamka
winidurowy	winidur
ekrazytowy	ekrazyt
rokitowy	rokita
tuńczykowy	tuńczyk
beszamelowy	beszamel
