patologiczny	patologia
czteromasztowy	czteromasztowiec
marny	marnota
samowładczy	samowładca
sześciokołowy	sześciokołowiec
rówieśny	rówieśnik
jednogarnkowy	jednogarnkowiec
wielopłatowy	wielopłat
wielopłatowy	wielopłatowiec
brukwiany	brukwianka
jabłczany	jabłczanka
samogrający	samograj
szybki	szybkościowiec
piegaty	piegus
okrągłogłowy	okrągłogłowy
łańcuchowy	łańcuchówka
łańcuchowy	łańcuchówka
gołowąsy	gołowąs
bułany	bułanek
bułany	bułany
przegubowy	przegubowiec
okupny	okupnik
szalbierczy	szalbierz
mądraliński	mądraliński
swój	swój
swój	swojak
dożywotni	dożywotniak
dożywotni	dożywotnik
służebny	służebnik
służebny	służebny
szybki	szybkościowiec
lotny	lotna
ulotny	ulotka
płytki	płycizna
punktowy	punktowiec
koniunkturalny	koniunkturalista
staroangielski	staroangielski
starozakonny	starozakonny
wstrętny	wstręciuch
sztywny	sztywniak
prymitywny	prymityw
odludny	odludek
nudziakowy	nudziak
