tik-tak	interj	onom	mwe	SGJP wiki
tirli	interj	onom		SGJP wiki
tiu	interj			SGJP
tja	interj	emo		wiki
tprr	interj			SGJP
tpru	interj			SGJP
tra	interj			SGJP
tra-la-la	interj		mwe	wiki
trach	interj	onom		SGJP wiki
traf	interj			SGJP
tralala	interj	inne		SGJP wiki
tralala	interj	emo		SGJP wiki
trap	interj			SGJP
tratata	interj	onom		wiki
trele	interj			wiki
trele-morele	interj		mwe	wiki
trr	interj	onom		wiki
truś	interj	apel		SGJP wiki
trzask	interj	onom		SGJP wiki
trzask-prask	interj		mwe	wiki
trzy-cztery	interj		mwe	wiki
trąf-trąf	interj		mwe	wiki
ts	interj			SGJP
tss	interj	apel		SGJP wiki
tssyt	interj			SGJP
tst	interj			SGJP
tup	interj	onom		SGJP wiki
tupu	interj	onom		SGJP wiki
tur	interj			SGJP
tyk	interj	onom		SGJP wiki
tyk-tak	interj	onom	mwe	wiki
tyr	interj			SGJP
u	interj	emo		wiki
u czorta	interj		mwe	wiki
u diabła	interj		mwe	wiki
u diaska	interj		mwe	wiki
u licha	interj		mwe	wiki
uch	interj	emo		SGJP wiki
uf	interj	emo		SGJP wiki
uff	interj	emo		SGJP wiki
uh	interj			SGJP
uha	interj	emo		SGJP wiki
uha	interj	apel		SGJP wiki
uhm	interj	emo		SGJP wiki
uhm	interj	apel		SGJP wiki
uhu	interj	onom		SGJP wiki
uhu	interj	apel		SGJP wiki
up	interj			SGJP
ups	interj	onom		wiki
ura	interj			SGJP
uuu	interj			wiki
uwaga	interj	apel		wiki
verte	interj	apel		wiki
vivat	interj	emo		SGJP wiki
wa	interj			SGJP
wara	interj	apel		SGJP wiki
wciurności	interj			SGJP
wciórności	interj	emo		SGJP wiki
wilkom	interj			SGJP
wio	interj	apel		SGJP wiki
wiu	interj			SGJP
wiwat	interj	emo		SGJP wiki
wiwat	interj	apel		SGJP wiki
wiśt	interj			SGJP
wiśta	interj	apel		SGJP wiki
wolnego	interj	apel		wiki
won	interj	apel		SGJP wiki
wont	interj			SGJP
wow	interj			SGJP wiki
wrr	interj	onom		SGJP wiki
wrr	interj	emo		SGJP wiki
wrrr	interj			wiki
wyczha	interj	apel		SGJP wiki
wynocha	interj	apel		SGJP wiki
właśnie	interj			SGJP
y	interj	onom		NKJP1M wiki
y	interj	emo		NKJP1M wiki
yhy	interj	apel		wiki
yy	interj			NKJP1M wiki
yyy	interj	emo		NKJP1M wiki
zasie	interj			SGJP
zasię	interj			SGJP
zerk	interj			SGJP
zyg	interj			SGJP
zzz	interj	onom		wiki
ćwir	interj	onom		SGJP wiki
ćśś	interj	apel		wiki
ęsi	interj	apel		SGJP wiki
ła	interj	emo		wiki
łaa	interj			wiki
łado	interj			SGJP
łap	interj	onom		wiki
łap-cap	interj		mwe	wiki
łaps	interj	onom		SGJP wiki
łapu	interj			SGJP wiki
łapu-capu	interj		mwe	SGJP wiki
łał	interj	emo		SGJP wiki
łe	interj	emo		wiki
ło	interj	emo		wiki
łoo	interj			wiki
łoł	interj	emo		wiki
łubu	interj			wiki
łubu-du	interj		mwe	SGJP wiki
łup	interj	onom		SGJP wiki
łupu	interj			wiki
łupu-cupu	interj		mwe	SGJP wiki
łuu	interj	emo		wiki
łyp	interj			SGJP
